start,end,speaker_id
2275.5,2277.0,Speaker_360
2277.0,2277.27,Speaker_293
2278.06,2280.31,Speaker_653
2280.31,2281.06,Speaker_522
2281.06,2281.81,Speaker_278
2281.81,2287.06,Speaker_347
2287.06,2289.31,Speaker_808
2289.31,2293.06,Speaker_404
2293.06,2293.81,Speaker_807
2293.81,2295.31,Speaker_319
2295.31,2296.4049999999997,Speaker_229
2296.4049999999997,2297.5299999999997,Speaker_11
2297.5299999999997,2301.25,Speaker_2
2301.25,2302.75,Speaker_962
2302.75,2304.25,Speaker_358
2304.25,2305.75,Speaker_402
2305.75,2308.0,Speaker_146
2308.0,2309.5,Speaker_853
2309.5,2309.55,Speaker_107
2310.05,2312.3,Speaker_326
2312.3,2313.8,Speaker_356
2313.8,2314.55,Speaker_171
2314.55,2316.05,Speaker_449
2316.05,2317.55,Speaker_665
2317.55,2318.3,Speaker_172
2318.3,2319.05,Speaker_523
2319.05,2321.3,Speaker_481
2321.3,2322.8,Speaker_298
2322.8,2324.19,Speaker_180
2324.19,2325.315,Speaker_13
2325.315,2325.815,Speaker_279
2325.815,2327.08,Speaker_452
2327.08,2327.83,Speaker_959
2327.83,2328.53,Speaker_786
2329.04,2329.96,Speaker_157
2331.84,2334.84,Speaker_300
2334.84,2336.34,Speaker_189
2336.34,2338.59,Speaker_334
2338.59,2339.34,Speaker_253
2339.34,2348.34,Speaker_397
2348.34,2349.84,Speaker_245
2349.84,2353.02,Speaker_463
2353.02,2353.5,Speaker_657
2353.5,2354.25,Speaker_127
2354.25,2355.0,Speaker_332
2355.0,2358.78,Speaker_316
2358.78,2359.53,Speaker_269
2359.53,2362.36,Speaker_500
2363.58,2365.08,Speaker_333
2365.08,2366.98,Speaker_145
2367.66,2371.41,Speaker_263
2371.41,2372.16,Speaker_426
2372.16,2373.66,Speaker_646
2373.66,2374.99,Speaker_561
2376.18,2377.68,Speaker_192
2377.68,2379.18,Speaker_211
2379.18,2379.93,Speaker_139
2379.93,2381.14,Speaker_224
2381.14,2382.56,Speaker_374
2382.56,2383.31,Speaker_173
2383.31,2384.06,Speaker_169
2384.06,2386.31,Speaker_90
2386.31,2392.31,Speaker_330
2392.31,2393.81,Speaker_261
2393.81,2394.56,Speaker_445
2394.56,2400.56,Speaker_163
2400.56,2401.31,Speaker_572
2401.31,2401.36,Speaker_220
2401.91,2404.16,Speaker_376
2404.16,2407.16,Speaker_594
2407.16,2407.58,Speaker_357
2408.21,2415.135,Speaker_43
2421.23,2424.23,Speaker_595
2424.23,2425.46,Speaker_403
2426.05,2429.05,Speaker_416
2429.05,2429.8,Speaker_471
2429.8,2431.3,Speaker_289
2431.3,2432.8,Speaker_283
2432.8,2433.55,Speaker_208
2433.55,2436.325,Speaker_274
2436.325,2437.075,Speaker_389
2437.075,2437.3,Speaker_321
2437.3,2439.08,Speaker_6
2439.77,2442.02,Speaker_470
2442.02,2442.77,Speaker_257
2442.77,2444.27,Speaker_77
2444.27,2445.77,Speaker_317
2445.77,2446.52,Speaker_209
2446.52,2451.1,Speaker_336
2451.1,2451.85,Speaker_252
2451.85,2452.6,Speaker_190
2452.6,2454.1,Speaker_205
2454.1,2456.35,Speaker_207
2456.35,2457.1,Speaker_443
2457.1,2458.49,Speaker_105
2460.82,2465.035,Speaker_323
2465.035,2467.995,Speaker_213
2470.57,2471.88,Speaker_256
2472.4,2474.65,Speaker_297
2474.65,2476.15,Speaker_222
2476.15,2476.9,Speaker_193
2476.9,2479.15,Speaker_337
2479.15,2481.4,Speaker_457
2481.4,2482.9,Speaker_324
2482.9,2484.4,Speaker_365
2484.4,2485.15,Speaker_951
2485.15,2485.4,Speaker_187
2486.0,2487.5,Speaker_407
2487.5,2491.53,Speaker_262
2495.08,2496.58,Speaker_216
2496.58,2504.08,Speaker_477
2504.08,2504.83,Speaker_967
2504.83,2506.33,Speaker_162
